f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
B,M,B,H,I,C,M,F,C,M,C,M,K,F,L,P
M,L,C,B,I,F,M,H,H,L,B,L,C,H,C,N
I,F,H,C,I,B,F,M,M,L,P,N,I,L,E,F
B,M,H,H,I,C,M,C,M,P,M,N,K,L,B,L
B,L,C,C,B,L,F,D,C,A,H,H,D,P,K,L
I,K,H,B,I,F,M,I,L,C,C,F,I,F,C,F
E,E,D,E,E,C,M,H,M,M,C,J,E,F,I,P
D,I,K,D,D,F,P,D,C,H,P,F,D,N,D,F
H,M,M,H,I,M,L,K,B,P,C,C,H,L,D,M
B,L,C,M,B,F,M,B,L,C,C,C,I,F,M,M
H,L,H,M,B,H,M,C,C,P,F,L,K,L,H,L
K,M,I,H,D,M,F,E,M,A,C,M,E,F,D,M
B,B,B,C,K,D,J,H,I,O,L,H,E,F,K,C
H,H,C,C,I,M,C,G,E,M,F,F,I,F,E,F
I,P,I,F,D,E,D,H,C,E,E,M,E,F,E,F
C,P,F,F,C,L,C,H,F,P,I,C,I,F,B,F
B,C,H,B,I,L,F,I,M,P,B,M,K,M,B,L
B,L,B,M,B,F,H,M,B,P,H,P,B,F,B,M
C,L,H,M,I,F,L,K,I,A,B,H,K,L,M,F
I,B,B,K,D,H,N,K,M,N,L,H,D,P,K,H
M,A,M,F,C,M,M,I,B,P,H,F,C,L,H,F
I,C,H,B,K,M,P,K,M,C,O,L,K,N,K,F
M,L,F,H,B,M,F,I,B,C,L,C,L,N,I,H
B,L,H,C,K,B,O,L,K,P,C,B,D,P,B,F
H,P,M,F,C,M,N,I,M,M,N,F,K,O,D,F
E,M,E,H,E,M,M,B,B,M,C,F,E,F,E,F
I,L,H,C,B,C,M,L,C,C,C,H,I,F,I,F
F,N,F,C,B,P,I,C,H,A,B,N,H,M,H,L
B,P,C,F,B,F,N,K,I,B,P,L,I,N,K,F
I,B,B,I,K,C,M,H,H,L,F,L,K,L,B,L
H,B,H,C,I,H,M,P,L,C,C,H,I,F,B,F
H,L,C,M,C,C,M,C,L,F,M,P,I,F,C,F
I,C,B,B,I,L,M,I,H,P,B,M,I,M,I,P
K,D,K,D,E,C,M,C,L,M,C,J,E,F,B,P
I,K,B,I,I,F,M,H,C,M,C,C,K,F,C,P
I,F,B,C,B,M,M,O,D,C,C,F,H,F,E,F
I,C,H,B,B,F,F,K,M,M,C,M,E,F,F,L
B,P,M,F,F,P,F,D,C,L,H,H,I,F,M,C
C,N,F,F,M,M,M,C,C,M,M,M,M,M,I,M
I,M,B,B,D,K,A,H,I,O,L,C,E,F,K,C
F,P,F,H,H,F,L,I,C,L,K,C,M,B,C,C
D,E,K,D,E,F,C,C,H,C,H,L,D,M,H,P
H,P,M,M,M,N,C,K,C,P,I,M,B,M,C,N
I,L,H,C,H,M,N,K,K,C,F,F,M,N,E,F
K,C,I,B,D,P,M,D,C,O,I,M,E,M,E,M
H,F,M,C,I,P,F,H,D,M,F,F,F,L,E,F
H,H,C,B,B,F,C,C,H,M,M,F,F,C,K,M
M,P,F,F,B,F,M,B,F,N,C,M,K,L,H,F
B,L,B,M,B,M,F,I,O,L,C,F,E,F,M,M
H,P,M,F,H,F,B,I,E,M,D,F,K,M,B,F
C,P,C,F,M,B,P,I,K,L,M,F,F,O,I,H
K,I,I,K,K,M,C,C,I,M,M,F,H,H,D,F
C,L,L,M,M,F,C,K,C,P,C,L,I,F,B,M
B,M,B,H,B,C,L,F,I,M,H,F,K,M,H,N
H,N,M,F,M,C,C,C,H,C,H,F,C,C,M,P
B,M,H,H,I,F,F,K,F,M,C,M,E,F,B,M
I,M,H,H,H,C,M,H,C,C,H,F,I,C,B,F
H,L,M,M,M,F,C,M,I,F,C,M,C,C,M,P
B,P,C,F,M,F,M,C,K,M,F,F,L,M,B,L
D,D,K,D,E,F,J,D,H,C,P,F,E,F,E,F
K,P,B,M,D,C,J,E,C,F,N,F,E,F,E,F
I,P,H,F,K,F,F,B,I,C,J,F,I,L,E,F
I,I,H,B,D,M,N,K,K,M,O,F,D,N,E,F
E,M,E,B,E,M,M,B,B,M,C,F,E,F,E,F
I,M,H,H,B,M,M,I,F,H,C,F,K,F,C,F
B,M,H,L,H,F,C,C,K,F,C,N,I,L,C,L
K,B,I,I,K,F,C,C,I,L,H,F,K,F,K,F
I,M,H,H,I,F,F,H,M,B,F,F,I,L,E,M
F,P,N,F,L,H,F,I,M,P,P,L,M,N,C,C
I,C,H,B,B,M,N,K,K,M,F,F,C,N,D,F
H,N,F,F,B,M,O,I,B,C,O,L,I,P,D,F
H,N,H,F,B,C,F,P,M,M,H,M,I,F,L,P
I,F,C,H,K,C,H,I,E,C,D,F,K,M,K,M
B,L,C,C,K,M,B,I,D,C,D,F,I,M,K,M
K,D,I,K,K,H,L,H,B,L,M,B,D,P,I,M
I,D,B,K,K,F,N,K,K,C,L,F,C,N,E,M
D,E,D,E,E,K,K,H,B,D,K,C,E,F,E,F
B,P,B,M,I,D,O,B,B,N,P,F,E,F,K,C
K,D,I,K,K,C,P,B,H,P,L,H,D,L,I,M
D,I,K,K,D,M,F,D,M,A,C,F,E,F,D,M
H,F,M,C,C,L,M,H,B,M,H,M,B,F,P,H
B,L,C,F,M,M,C,H,B,C,C,F,B,F,D,M
H,L,C,N,C,F,M,C,I,F,F,N,I,F,C,F
M,P,F,F,C,M,F,I,C,P,H,M,K,F,H,F
I,F,B,H,K,C,P,L,B,M,B,F,I,M,H,N
H,M,H,H,I,C,N,K,M,N,L,H,D,N,K,B
B,F,B,C,I,K,O,H,C,N,P,F,E,F,K,M
C,M,F,P,L,M,L,B,K,M,F,M,C,N,C,H
K,I,I,K,K,H,L,B,B,L,M,B,D,P,I,M
I,F,B,C,K,H,N,F,B,M,B,L,I,M,C,N
K,K,I,B,K,H,P,B,B,P,F,B,D,P,I,M
B,C,C,B,I,P,M,D,F,P,K,C,I,F,I,P
C,N,M,F,H,H,M,M,L,F,C,A,K,N,H,F
M,P,L,F,C,M,F,K,P,N,C,L,K,F,H,F
I,K,B,I,K,H,P,B,B,P,F,B,D,P,I,C
D,E,D,D,E,K,K,H,H,D,D,C,E,F,E,F
H,N,M,F,B,M,M,H,K,M,F,F,L,L,E,F
B,C,C,B,B,M,M,C,H,M,C,C,B,F,I,M
D,E,K,E,E,M,M,N,D,M,C,F,I,F,E,F
M,L,P,M,C,K,F,I,F,N,O,O,H,C,H,I
K,D,I,K,K,F,F,C,H,M,C,F,I,F,I,F
B,C,B,B,I,M,H,O,B,M,O,F,I,L,E,F
C,H,M,B,B,H,N,B,K,L,F,M,M,N,K,C
H,M,M,H,B,P,C,K,C,N,K,M,I,C,I,P
H,C,C,F,C,M,P,B,K,M,L,N,I,L,H,F
K,D,I,I,I,F,C,C,B,M,M,F,C,H,K,F
C,N,F,F,M,P,C,D,F,N,B,F,B,M,H,N
C,M,F,C,F,F,M,B,B,M,C,F,M,L,F,B
K,I,B,K,D,M,M,K,L,O,C,L,D,L,H,M
I,L,B,M,I,M,F,I,N,F,C,F,E,F,M,M
D,E,K,D,E,F,M,M,I,C,C,L,K,F,I,F
B,L,C,M,H,H,P,I,C,P,L,H,D,P,B,M
F,O,M,C,B,F,L,I,B,O,H,B,I,P,C,C
K,B,B,I,K,P,K,K,K,L,K,L,K,C,K,F
H,C,F,B,H,F,M,I,C,P,H,F,B,L,B,F
B,N,C,F,C,F,F,K,C,M,M,F,H,N,F,F
P,A,F,M,B,M,P,B,M,I,B,L,H,M,K,M
C,F,F,M,F,M,F,H,I,M,M,L,M,N,M,F
I,M,B,H,I,C,C,L,M,C,C,M,K,F,L,L
B,L,C,C,B,H,F,B,F,N,L,L,K,L,H,C
C,N,F,F,P,M,M,B,H,C,C,L,F,L,F,M
K,C,B,B,I,N,C,D,H,L,B,H,D,F,H,L
B,H,H,M,K,M,M,B,G,L,C,F,E,F,F,F
C,P,C,M,I,H,P,P,C,F,H,H,K,P,B,F
O,A,O,M,H,K,P,I,I,P,O,F,L,P,E,M
B,C,B,M,H,F,F,C,K,M,M,N,I,L,H,F
K,F,I,C,K,P,M,E,M,N,I,C,E,M,D,M
L,P,L,M,L,B,P,K,I,L,F,F,F,N,K,C
H,P,M,F,C,B,L,B,M,O,P,F,I,L,B,H
K,D,K,D,E,F,M,B,B,M,C,F,I,F,B,F
K,M,I,H,K,L,C,K,C,N,B,F,D,C,D,C
C,L,C,M,I,B,N,I,B,L,N,M,K,P,D,F
I,B,B,I,I,M,M,H,H,M,C,C,K,F,C,L
H,M,M,C,C,M,F,B,F,M,M,F,I,L,F,C
B,M,H,H,I,F,M,O,D,M,L,F,F,C,E,F
B,M,H,H,I,F,C,K,P,N,H,P,K,F,C,L
I,K,B,I,K,M,M,C,M,M,C,H,K,F,I,M
B,L,C,M,C,F,M,C,I,M,C,P,B,F,M,L
K,D,K,K,D,F,C,C,C,C,H,P,D,M,H,P
M,P,M,F,B,B,P,K,F,P,N,C,K,P,B,I
C,L,F,F,F,M,M,K,B,M,I,L,M,B,L,P
I,B,B,K,K,M,M,M,M,M,C,H,K,F,I,M
B,P,C,M,B,M,L,C,H,M,C,M,C,F,K,C
B,L,C,M,I,B,A,I,B,A,F,B,D,P,K,C
I,I,I,B,D,D,N,H,M,N,N,L,E,F,K,C
B,C,B,B,K,M,M,J,D,H,C,F,C,F,E,F
I,F,B,C,K,B,I,C,M,D,D,H,D,C,D,C
H,P,M,F,M,F,F,M,C,M,C,M,I,F,I,M
I,F,B,C,K,M,M,E,C,A,C,F,E,F,D,F
C,N,B,C,K,P,C,H,H,O,I,C,I,F,H,P
C,F,C,C,I,I,O,B,B,P,O,M,K,P,D,F
D,D,K,D,E,M,P,K,K,M,O,F,D,N,E,F
I,H,B,I,I,F,M,M,H,M,M,F,K,F,L,F
I,L,H,C,K,C,C,I,D,C,E,F,K,M,D,M
I,H,B,B,K,I,L,B,M,N,P,O,D,L,K,C
H,C,M,F,D,C,N,I,K,L,O,F,D,N,E,F
K,I,I,B,K,F,F,B,K,M,F,P,K,L,B,F
D,D,K,D,E,M,L,B,K,M,A,F,K,P,E,F
I,C,B,B,D,M,C,I,C,J,M,N,D,C,D,M
H,N,F,F,F,L,M,H,H,C,M,H,P,F,I,H
K,B,B,I,D,L,B,B,H,J,C,O,E,M,E,F
H,H,C,M,K,M,M,H,B,M,C,F,I,F,B,F
D,L,E,C,D,M,M,H,I,M,C,F,E,F,E,F
B,B,H,C,I,H,O,F,B,M,I,L,I,M,C,N
H,P,M,F,C,M,M,M,C,H,P,P,H,C,L,M
M,N,L,F,M,P,F,H,D,C,P,M,P,O,K,H
H,F,C,C,I,B,L,H,M,O,N,L,I,L,K,M
I,M,H,H,H,M,F,B,H,M,M,L,H,L,H,M
O,G,N,F,C,F,M,B,H,L,M,M,M,P,H,L
B,C,H,B,B,C,C,F,C,C,C,L,K,F,B,P
I,M,H,H,B,M,F,H,C,F,H,L,I,C,H,N
H,P,M,M,B,F,L,K,M,J,H,B,I,L,B,L
H,P,H,F,H,I,F,H,L,M,C,J,E,F,C,F
B,M,H,H,I,B,F,H,M,P,L,L,I,L,K,C
K,C,B,B,K,M,O,I,I,C,N,F,K,P,D,F
I,B,I,I,I,M,M,H,H,M,C,C,K,F,C,L
C,N,M,F,M,M,F,F,B,L,F,F,I,F,I,F
B,F,B,H,K,B,M,F,K,M,C,N,B,F,K,N
H,M,M,H,B,F,F,K,H,P,B,C,H,L,D,M
M,F,F,L,F,M,F,B,C,C,F,M,B,L,P,L
C,P,F,F,F,L,F,C,I,H,M,P,L,F,H,L
H,B,H,M,K,M,B,G,C,M,J,F,I,L,E,F
I,C,H,B,I,F,L,B,B,N,B,B,D,P,I,F
B,B,H,C,I,M,M,O,D,M,L,F,F,C,E,F
I,P,B,M,K,A,I,M,B,A,B,N,D,C,E,F
H,P,C,F,H,F,C,B,H,F,C,M,I,M,B,C
B,M,H,H,H,C,M,H,M,M,C,P,C,F,I,L
B,F,C,C,I,C,F,D,F,P,F,L,I,F,I,M
H,F,M,C,I,H,L,I,L,N,M,C,K,M,H,H
I,L,H,C,I,B,N,K,C,N,P,C,D,P,I,H
K,I,B,D,D,H,L,I,B,N,F,F,H,F,E,M
B,H,C,B,H,C,F,B,B,F,M,L,B,N,F,P
K,I,I,K,K,M,M,H,H,P,H,C,I,F,I,L
I,B,B,I,K,C,F,C,M,M,P,L,I,L,E,F
I,H,H,I,K,H,L,I,B,P,F,F,H,F,E,M
I,C,B,B,D,C,M,C,L,C,C,A,D,M,B,F
D,E,K,E,D,M,C,L,E,M,F,F,H,C,E,F
K,N,I,F,B,F,M,E,M,M,C,F,E,F,I,M
B,M,H,H,H,H,L,C,B,F,M,L,K,L,M,P
K,H,B,B,I,F,F,I,H,P,C,C,I,M,H,L
H,L,M,M,F,M,M,I,B,C,C,L,M,M,F,M
H,H,C,F,K,M,M,H,B,M,C,F,I,F,B,F
B,F,C,C,F,F,F,B,I,C,M,M,C,N,F,F
B,H,H,F,I,I,F,C,O,M,H,G,E,F,M,M
H,F,C,C,B,M,F,K,P,O,M,C,D,M,C,C
D,E,D,D,D,B,M,H,F,M,C,A,E,F,C,P
B,L,C,M,B,C,H,E,F,F,K,N,E,M,K,F
B,L,C,C,I,M,I,D,F,F,K,P,K,H,B,M
B,H,C,M,H,N,H,I,H,L,I,M,K,M,C,L
H,C,H,F,B,M,M,O,K,M,L,F,F,C,E,F
C,O,H,M,B,O,B,B,H,N,K,M,B,L,H,A
B,M,H,H,I,M,B,D,M,F,K,L,D,C,K,F
I,C,I,B,I,F,F,O,D,C,C,F,H,F,E,F
H,H,M,B,M,L,F,B,B,M,C,M,F,C,C,H
C,L,F,M,B,N,F,H,K,C,L,F,F,L,E,F
B,F,C,C,C,F,F,I,M,M,M,M,D,L,P,F
K,M,K,B,D,D,O,B,H,O,N,F,E,F,K,C
K,M,B,H,I,N,K,K,K,L,K,L,K,C,K,M
B,F,H,C,B,M,F,F,B,M,H,C,I,C,M,L
B,F,C,C,B,N,C,I,M,N,I,M,K,F,H,N
M,P,L,F,F,M,F,C,C,F,M,C,M,F,I,M
H,N,H,F,B,B,M,H,C,N,L,J,K,P,B,M
B,L,H,M,H,H,M,L,C,C,C,C,K,F,I,F
I,M,B,H,K,F,C,K,M,M,C,M,E,L,B,M
I,F,H,C,C,M,M,I,H,C,M,P,C,N,C,C
B,B,B,C,K,M,M,J,K,B,C,F,C,F,E,F
K,I,B,K,D,M,N,B,I,N,B,K,E,L,I,F
C,J,C,F,B,L,M,I,M,O,H,C,K,F,C,C
L,P,L,F,M,H,M,H,L,F,C,L,F,L,C,D
B,L,C,M,C,H,C,B,M,C,C,P,I,F,C,P
I,M,B,H,K,H,F,C,F,O,L,N,D,P,I,M
B,P,H,F,B,C,B,D,M,F,K,P,E,C,I,F
B,N,C,F,M,F,M,K,F,M,C,F,E,F,L,F
D,I,K,D,D,M,I,D,C,L,I,P,E,M,K,L
H,L,C,C,B,C,M,C,L,H,C,O,D,M,B,L
C,L,M,N,M,F,M,M,B,L,M,L,I,F,C,F
C,N,P,F,C,H,P,K,I,F,L,L,F,N,D,F
I,K,B,I,K,C,F,C,M,M,L,L,I,L,D,F
I,B,H,H,D,F,P,I,K,C,A,F,K,N,E,F
H,P,F,F,H,H,P,I,B,L,L,F,H,L,D,M
K,B,I,I,K,H,M,B,M,C,C,N,I,F,H,L
D,E,K,E,E,M,C,C,B,M,C,F,K,F,I,F
B,L,C,M,L,L,C,B,B,C,M,M,L,F,H,M
K,H,B,I,I,L,M,B,H,L,B,M,I,M,B,L
I,M,I,H,K,H,M,M,K,C,H,N,I,F,K,N
D,I,K,K,D,M,B,K,M,M,K,L,E,M,K,F
B,B,M,I,I,F,M,K,M,P,B,F,H,L,B,L
D,E,K,D,E,C,M,C,L,M,C,J,E,F,B,P
H,F,H,C,K,M,B,J,H,M,J,F,I,L,E,F
B,N,C,F,K,L,P,D,I,C,O,F,D,N,E,F
B,P,B,M,K,D,J,H,B,A,P,H,E,F,K,H
B,F,B,C,I,D,A,B,B,O,P,C,E,F,D,C
L,P,F,H,I,C,P,B,H,B,H,N,C,N,K,M
M,P,P,F,H,H,F,K,L,N,P,L,I,F,B,C
I,L,H,M,I,M,O,I,M,M,O,F,D,O,D,F
H,F,H,C,I,I,F,H,M,P,P,P,I,L,K,C
I,I,H,K,K,M,F,D,F,P,M,F,K,F,I,M
K,D,I,K,D,C,F,M,F,F,M,A,D,L,B,P
M,P,L,F,F,L,F,H,B,M,H,M,B,F,L,B
K,B,B,K,K,L,M,K,H,P,H,C,K,F,B,L
H,P,F,F,L,C,M,I,B,M,C,L,F,P,F,H
I,C,B,B,K,M,F,F,M,M,M,F,I,F,B,F
C,P,H,H,K,C,H,I,M,P,B,A,K,C,C,F
H,L,M,M,C,L,C,K,M,N,B,L,I,F,H,N
B,P,H,F,K,H,M,M,P,M,H,J,D,L,B,L
D,D,K,D,E,F,M,B,M,H,C,M,E,F,M,F
H,P,C,M,D,M,M,H,B,M,C,F,I,F,B,F
K,I,K,K,D,F,M,C,I,L,C,F,K,F,I,F
K,D,I,K,D,C,O,I,C,F,N,M,K,N,D,M
C,P,F,F,P,F,M,C,D,M,C,F,L,P,C,N
C,O,C,M,I,F,C,I,B,A,C,F,K,L,I,F
H,M,H,H,K,B,L,H,M,O,N,F,I,L,D,M
I,M,H,H,I,M,I,K,M,F,K,L,K,H,I,F
B,F,C,C,B,F,I,K,K,C,K,M,K,C,K,M
L,O,M,M,I,M,F,B,L,A,C,F,K,M,H,C
C,P,M,F,B,F,M,A,K,C,L,F,L,C,E,F
M,P,L,F,C,C,L,K,B,L,F,F,M,M,K,M
B,F,C,C,B,M,F,M,C,P,C,H,I,F,B,F
K,D,K,K,D,H,P,B,B,L,M,B,D,P,I,M
I,M,B,H,I,C,H,M,C,C,C,L,K,F,B,P
B,L,H,M,K,C,C,M,P,F,H,A,D,P,B,L
D,H,K,I,D,M,M,E,M,A,C,F,E,F,D,M
H,P,F,M,M,L,C,K,B,F,H,M,M,C,K,F
F,J,C,F,H,M,F,H,C,P,H,F,C,C,F,N
I,K,B,B,K,C,M,B,F,C,C,N,I,F,C,L
H,N,M,L,B,F,M,K,P,N,H,L,K,F,C,F
I,F,H,C,I,C,P,H,C,P,F,B,D,P,B,M
K,B,I,I,D,C,F,M,M,L,F,A,D,P,B,P
I,M,B,H,K,C,B,D,L,F,K,N,E,M,K,F
B,H,H,B,K,B,F,H,M,N,P,L,I,L,K,C
H,P,M,F,C,F,N,K,M,C,N,F,D,O,D,F
C,P,F,M,H,F,L,K,H,L,B,C,H,L,D,M
B,P,H,F,I,I,H,D,L,C,D,N,E,M,I,C
B,M,H,H,B,C,M,M,L,F,F,P,I,F,C,F
I,M,B,H,K,P,M,D,C,A,I,M,E,F,E,F
H,N,M,F,B,H,F,K,F,P,N,P,I,F,B,H
K,B,B,I,K,M,L,I,B,O,H,B,D,L,I,F
H,N,C,F,I,C,M,M,N,H,C,J,D,M,B,F
M,P,M,F,H,H,M,H,M,O,F,A,B,L,H,C
M,A,C,F,I,C,L,I,C,O,H,H,K,L,C,C
B,B,H,H,B,M,L,B,H,M,M,F,I,M,C,C
P,J,L,F,H,C,C,H,H,C,F,L,M,M,B,L
K,C,I,B,K,C,O,I,C,F,N,F,K,N,D,M
C,F,L,C,L,P,C,I,I,L,B,M,L,F,I,C
B,F,H,C,B,M,F,M,F,F,M,H,I,F,I,M
B,F,H,C,B,H,C,B,F,M,M,O,I,F,C,L
I,B,H,C,B,L,M,H,H,L,I,C,K,C,C,M
C,P,F,F,C,M,L,H,F,H,B,P,H,B,M,L
J,G,J,F,M,C,P,H,H,B,B,N,N,A,K,F
B,L,H,C,H,F,M,H,F,H,H,F,E,F,F,M
B,H,H,B,I,M,C,C,C,C,C,P,K,L,B,F
B,N,C,F,F,M,H,H,K,F,M,F,C,L,H,F
H,N,H,F,K,D,A,H,B,O,N,M,E,F,K,H
B,K,H,B,B,L,C,C,B,C,M,C,F,C,K,C
B,L,C,M,B,B,P,H,F,N,P,L,K,F,H,I
D,I,I,K,D,L,B,B,B,A,M,O,D,M,E,M
B,M,C,H,B,L,M,B,C,P,H,H,I,F,I,F
C,F,L,C,M,H,F,I,M,P,L,L,B,L,B,C
K,H,B,I,K,C,B,D,F,F,K,P,E,M,K,F
K,I,I,K,D,H,O,I,C,N,L,B,D,P,K,H
H,P,H,F,B,C,L,L,F,M,H,M,K,F,L,P
B,P,C,F,B,M,M,I,F,N,M,L,I,F,H,F
H,N,F,F,M,M,M,I,F,H,M,P,I,F,C,F
I,F,C,C,C,F,M,D,B,P,C,M,H,L,B,H
I,F,B,C,I,F,F,M,H,C,C,L,K,M,H,N
K,F,I,C,D,N,I,P,I,O,F,A,D,C,E,F
I,D,B,K,D,M,N,K,M,M,N,F,D,P,D,F
I,I,B,D,D,B,L,H,C,N,P,L,I,P,K,M
F,N,N,F,H,M,F,I,H,P,C,M,M,M,K,M
I,C,B,B,D,M,M,B,B,M,C,F,I,F,B,F
F,F,F,C,H,K,P,K,I,N,N,L,M,P,D,M
D,I,I,D,D,L,M,K,H,P,B,M,D,F,K,L
K,B,B,I,D,H,O,I,H,A,M,I,D,P,D,C
I,M,B,H,I,C,F,M,M,P,F,A,K,P,B,P
B,P,M,M,K,M,F,B,I,M,J,F,I,L,E,F
H,F,C,C,C,F,L,M,B,C,C,F,I,M,M,H
H,P,C,F,I,I,F,H,F,N,N,A,D,F,I,M
H,F,F,C,B,C,O,M,K,N,H,K,D,P,B,L
K,B,B,C,K,N,B,I,B,P,I,L,K,M,H,L
I,F,H,M,B,F,M,M,H,C,C,L,I,F,B,P
B,C,B,B,K,I,O,B,I,P,N,M,K,P,D,F
C,P,L,F,N,C,M,B,B,C,C,L,F,L,L,M
F,L,F,C,H,D,P,K,I,P,N,L,M,P,D,M
K,C,B,B,D,L,G,D,H,H,N,L,E,F,E,F
K,I,I,K,D,M,M,D,F,P,C,F,K,F,K,M
K,B,I,I,D,M,F,C,C,M,L,F,I,L,D,F
H,P,H,M,B,B,O,I,H,N,P,H,K,A,K,B
C,L,F,M,H,M,L,C,H,M,C,C,M,F,I,F
I,M,B,H,I,I,M,H,F,M,C,A,E,F,M,L
K,K,I,I,K,M,M,M,B,M,C,F,K,F,I,F
D,I,K,K,D,H,N,B,B,N,F,B,D,L,I,C
B,C,H,B,H,L,M,B,I,L,H,F,B,F,P,P
B,N,H,F,K,C,P,D,I,M,O,F,D,N,E,F
H,F,M,C,H,M,C,I,H,C,C,L,I,F,L,L
K,I,I,D,K,F,M,K,H,P,H,C,K,F,B,L
D,E,K,E,E,M,H,P,B,M,A,F,I,P,E,F
B,L,H,C,B,F,M,H,M,H,C,F,E,F,F,F
H,L,L,M,C,H,H,K,B,I,K,M,C,M,M,K
M,L,L,F,L,M,F,H,H,M,M,P,F,L,P,L
K,M,I,H,I,L,C,D,B,F,H,H,I,F,H,M
K,B,B,I,K,M,F,K,M,N,M,F,K,F,B,F
K,H,B,B,D,L,C,K,M,J,H,P,D,C,D,M
H,N,M,F,H,L,F,B,C,P,I,M,I,M,B,N
C,L,L,M,C,C,A,M,K,O,H,K,D,N,B,F
B,F,C,C,B,L,M,I,C,P,I,C,I,M,B,P
B,I,B,H,D,B,M,F,D,M,C,N,I,F,I,N
I,L,H,M,I,O,I,B,I,P,D,L,K,M,I,L
I,B,B,C,K,M,M,I,A,P,C,F,E,F,F,F
I,H,H,B,K,F,M,I,M,P,C,M,D,L,H,F
B,M,H,H,I,P,M,I,H,O,B,H,K,L,I,L
M,L,P,F,M,H,B,B,H,B,I,M,B,M,M,C
B,L,C,M,M,F,C,B,K,F,M,F,F,L,B,M
I,H,B,I,K,C,M,H,H,L,M,P,K,F,B,L
H,N,M,F,C,M,F,K,F,N,M,F,I,F,B,F
H,L,C,M,I,L,H,B,C,G,B,P,E,M,D,M
H,L,M,C,M,M,M,K,B,L,F,L,M,C,K,F
B,F,H,C,B,M,L,M,M,F,B,C,K,M,L,L
B,F,C,C,C,M,M,I,M,M,C,C,C,F,B,L
M,N,M,C,B,B,F,K,K,F,P,F,L,N,D,C
K,D,K,K,D,M,M,C,H,C,C,L,K,L,B,L
H,N,F,F,H,L,I,K,I,F,D,F,K,M,I,M
E,D,E,D,E,M,M,B,B,M,C,F,E,F,E,F
I,M,H,H,H,F,L,C,I,C,C,L,B,F,C,M
K,B,I,I,K,F,M,I,H,L,C,C,K,F,H,L
K,H,I,B,K,M,M,H,L,C,C,F,K,F,M,F
B,H,C,M,B,N,H,B,B,L,I,F,K,C,H,L
I,I,B,K,K,L,C,C,B,C,M,C,C,H,K,C
H,H,C,M,K,F,B,J,C,C,G,F,I,L,E,F
B,N,C,F,C,F,F,B,C,L,B,F,I,C,H,N
I,C,H,B,B,L,C,B,C,P,H,M,K,F,H,P
M,L,P,F,P,F,F,B,B,F,B,M,F,C,M,C
D,L,K,C,I,F,M,E,M,M,C,M,E,F,K,M
K,B,I,I,K,M,M,H,H,C,H,C,K,M,B,F
B,M,C,C,M,F,C,H,H,M,C,F,F,L,M,C
I,B,H,I,I,F,C,K,B,F,H,M,F,M,K,F
B,L,C,M,K,M,F,B,I,M,J,F,I,L,E,F
I,F,H,C,I,C,B,D,F,F,K,P,E,M,K,F
K,D,B,K,D,M,K,K,K,C,K,F,K,C,K,M
B,H,H,M,K,H,G,D,C,L,N,M,E,F,E,F
K,D,K,D,E,F,M,B,B,M,C,F,I,F,B,F
H,F,M,C,B,C,P,K,H,A,M,H,K,P,K,M
I,K,B,I,K,C,F,F,M,F,M,O,K,L,B,P
B,F,H,C,I,M,C,C,M,N,C,O,K,P,B,L
H,L,F,M,B,F,M,D,F,P,B,M,I,F,B,F
I,M,H,H,C,F,M,B,I,C,C,M,M,F,F,F
I,F,H,C,K,C,N,K,B,F,O,F,K,P,D,F
F,O,F,C,H,F,H,K,F,O,C,P,I,M,M,F
C,F,M,P,M,F,L,B,H,M,M,F,I,M,L,M
K,H,B,B,D,L,M,K,M,J,B,F,E,M,E,M
M,N,L,F,H,F,C,I,P,O,B,P,K,L,C,P
B,H,H,B,B,M,M,C,C,M,C,F,I,F,I,M
D,D,K,K,D,B,M,H,F,M,C,A,E,F,M,L
K,I,I,K,D,M,L,I,B,A,H,B,E,L,K,L
I,M,B,H,I,M,M,I,N,F,C,F,E,F,M,F
B,L,M,M,I,M,M,D,L,P,C,F,I,F,B,M
K,B,B,K,D,L,O,K,I,H,N,L,K,N,D,F
B,N,C,F,F,M,M,I,B,M,C,F,M,P,F,C
H,L,M,M,I,L,O,I,B,B,N,L,I,P,D,F
B,F,C,C,B,F,M,C,M,P,H,H,I,F,I,F
B,P,C,F,B,L,J,E,H,C,P,F,E,F,E,F
C,M,C,H,K,I,N,B,B,P,O,M,K,P,D,M
K,M,I,H,K,F,C,E,M,A,C,L,E,F,D,F
C,L,L,M,M,F,C,K,C,P,H,F,B,M,B,F
H,P,L,F,L,M,L,D,H,L,C,H,C,L,H,K
B,L,I,B,K,M,P,B,B,F,F,F,I,L,F,N
H,C,C,F,C,F,H,F,B,C,C,F,I,L,M,N
B,C,B,B,I,M,C,L,M,M,M,M,K,F,F,L
I,M,I,H,K,D,O,B,B,N,P,F,E,F,K,C
B,M,C,H,B,M,M,F,B,M,C,F,I,F,I,F
K,B,B,I,K,M,L,K,B,P,C,C,H,F,D,M
H,F,M,C,C,M,M,H,H,M,C,F,L,M,H,P
B,F,H,C,B,C,N,I,M,F,N,F,K,O,D,M
H,A,B,M,K,L,M,H,B,O,I,C,I,F,H,P
I,L,H,C,H,F,M,C,C,M,C,H,K,F,C,L
I,I,H,K,K,L,C,I,C,P,B,F,I,F,I,L
K,B,B,I,D,M,O,K,I,C,N,L,K,P,D,F
